NATIONAL,NAT_CODE,MARKET,MKT_CODE,DMA_NAME,DMA_CODE,STORE_NO,STORE_CODE
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,165,SDA0165
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,168,SDA0168
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,203,SDA0203
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,210,SDA0210
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,214,SDA0214
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,215,SDA0215
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,223,SDA0223
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,224,SDA0224
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,232,SDA0232
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,242,SDA0242
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,245,SDA0245
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,249,SDA0249
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,288,SDA0288
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,298,SDA0298
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,306,SDA0306
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,329,SDA0329
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,332,SDA0332
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,333,SDA0333
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,340,SDA0340
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,344,SDA0344
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,345,SDA0345
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,356,SDA0356
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,391,SDA0391
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,398,SDA0398
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,404,SDA0404
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,476,SDA0476
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,491,SDA0491
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,525,SDA0525
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,534,SDA0534
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,538,SDA0538
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,564,SDA0564
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,575,SDA0575
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,599,SDA0599
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,633,SDA0633
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,690,SDA0690
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,704,SDA0704
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,727,SDA0727
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,772,SDA0772
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,780,SDA0780
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,815,SDA0815
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,818,SDA0818
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,849,SDA0849
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,878,SDA0878
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,890,SDA0890
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,958,SDA0958
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,959,SDA0959
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,960,SDA0960
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,961,SDA0961
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,962,SDA0962
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,964,SDA0964
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,965,SDA0965
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,967,SDA0967
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,968,SDA0968
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,969,SDA0969
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,980,SDA0980
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,981,SDA0981
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,982,SDA0982
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,983,SDA0983
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,985,SDA0985
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,993,SDA0993
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,997,SDA0997
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,998,SDA0998
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,999,SDA0999
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1012,SDA1012
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1017,SDA1017
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1057,SDA1057
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1065,SDA1065
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1073,SDA1073
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1084,SDA1084
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1132,SDA1132
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1155,SDA1155
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1161,SDA1161
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1235,SDA1235
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1253,SDA1253
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1255,SDA1255
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1259,SDA1259
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1266,SDA1266
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1270,SDA1270
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1340,SDA1340
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1366,SDA1366
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1379,SDA1379
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1409,SDA1409
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1452,SDA1452
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1468,SDA1468
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1492,SDA1492
TOTAL,TOTUS,EMERGING,MEMER,DAVENPORT-R.ISLAND-MOLINE,DDAV01,1031,SDA1031
TOTAL,TOTUS,EMERGING,MEMER,DAYTON,DDAY01,1271,SDA1271
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,36,SDE0036
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,94,SDE0094
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,100,SDE0100
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,134,SDE0134
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,159,SDE0159
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,167,SDE0167
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,171,SDE0171
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,181,SDE0181
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,204,SDE0204
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,227,SDE0227
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,291,SDE0291
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,471,SDE0471
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,497,SDE0497
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,578,SDE0578
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,850,SDE0850
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,882,SDE0882
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,1091,SDE1091
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,1369,SDE1369
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,1402,SDE1402
TOTAL,TOTUS,DEVELOPING,MDEVL,DENVER,DDEN01,1435,SDE1435
TOTAL,TOTUS,EMERGING,MEMER,DES MOINES-AMES,DDES01,1389,SDE1389
TOTAL,TOTUS,EMERGING,MEMER,DES MOINES-AMES,DDES01,1440,SDE1440
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,624,SDE0624
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,657,SDE0657
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,667,SDE0667
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,853,SDE0853
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,1392,SDE1392
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,1417,SDE1417
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,1540,SDE1540
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,1544,SDE1544
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,1550,SDE1550
TOTAL,TOTUS,EMERGING,MEMER,DETROIT,DDET01,1555,SDE1555
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,55,SEL0055
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,73,SEL0073
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,102,SEL0102
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,170,SEL0170
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,248,SEL0248
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,445,SEL0445
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,446,SEL0446
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,684,SEL0684
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,1158,SEL1158
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,1248,SEL1248
TOTAL,TOTUS,EMERGING,MEMER,EL PASO (LAS CRUCES),DEL 01,1333,SEL1333
TOTAL,TOTUS,EMERGING,MEMER,EVANSVILLE,DEVA01,1427,SEV1427
TOTAL,TOTUS,EMERGING,MEMER,FARGO,DFAR01,1523,SFA1523
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,275,SFR0275
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,510,SFR0510
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,516,SFR0516
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,585,SFR0585
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,713,SFR0713
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,715,SFR0715
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,837,SFR0837
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,844,SFR0844
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,1089,SFR1089
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,1115,SFR1115
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,1256,SFR1256
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,1265,SFR1265
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,1338,SFR1338
TOTAL,TOTUS,EMERGING,MEMER,FRESNO-VISALIA,DFRE01,1380,SFR1380
TOTAL,TOTUS,EMERGING,MEMER,FT. MYERS-NAPLES,DFT.01,1152,SFT1152
TOTAL,TOTUS,EMERGING,MEMER,FT. MYERS-NAPLES,DFT.01,1316,SFT1316
TOTAL,TOTUS,EMERGING,MEMER,FT. MYERS-NAPLES,DFT.01,1323,SFT1323
TOTAL,TOTUS,EMERGING,MEMER,FT. SMITH-FAY-SPRNGDL-RGRS,DFT.01,212,SFT0212
TOTAL,TOTUS,EMERGING,MEMER,FT. SMITH-FAY-SPRNGDL-RGRS,DFT.01,468,SFT0468
TOTAL,TOTUS,EMERGING,MEMER,GAINESVILLE,DGAI01,47,SGA0047
TOTAL,TOTUS,EMERGING,MEMER,GAINESVILLE,DGAI01,866,SGA0866
TOTAL,TOTUS,EMERGING,MEMER,GRAND RAPIDS-KALMZOO-B.CRK,DGRA01,1512,SGR1512
TOTAL,TOTUS,EMERGING,MEMER,GREEN BAY-APPLETON,DGRE01,1124,SGR1124
TOTAL,TOTUS,EMERGING,MEMER,GREEN BAY-APPLETON,DGRE01,1128,SGR1128
TOTAL,TOTUS,EMERGING,MEMER,GREENSBORO-H.POINT-W.SALEM,DGRE01,1504,SGR1504
TOTAL,TOTUS,EMERGING,MEMER,GREENSBORO-H.POINT-W.SALEM,DGRE01,1538,SGR1538
TOTAL,TOTUS,EMERGING,MEMER,GREENSBORO-H.POINT-W.SALEM,DGRE01,1554,SGR1554
TOTAL,TOTUS,EMERGING,MEMER,GREENSBORO-H.POINT-W.SALEM,DGRE01,1575,SGR1575
TOTAL,TOTUS,EMERGING,MEMER,GREENVILLE-N.BERN-WASHNGTN,DGRE01,1426,SGR1426
TOTAL,TOTUS,EMERGING,MEMER,GREENVLL-SPART-ASHEVLL-AND,DGRE01,469,SGR0469
TOTAL,TOTUS,EMERGING,MEMER,GREENVLL-SPART-ASHEVLL-AND,DGRE01,1198,SGR1198
TOTAL,TOTUS,EMERGING,MEMER,GREENVLL-SPART-ASHEVLL-AND,DGRE01,1382,SGR1382
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,68,SHA0068
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,89,SHA0089
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,235,SHA0235
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,251,SHA0251
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,261,SHA0261
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,287,SHA0287
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,318,SHA0318
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,339,SHA0339
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,357,SHA0357
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,372,SHA0372
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,407,SHA0407
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,413,SHA0413
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,439,SHA0439
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,442,SHA0442
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,541,SHA0541
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,547,SHA0547
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,562,SHA0562
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,571,SHA0571
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,577,SHA0577
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,604,SHA0604
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,609,SHA0609
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,647,SHA0647
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,674,SHA0674
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,773,SHA0773
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,1048,SHA1048
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,1060,SHA1060
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,1121,SHA1121
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,1329,SHA1329
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,1387,SHA1387
TOTAL,TOTUS,EMERGING,MEMER,HARLINGEN-WSLCO-BRNSVL-MCA,DHAR01,1520,SHA1520
TOTAL,TOTUS,EMERGING,MEMER,HARTFORD & NEW HAVEN,DHAR01,846,SHA0846
TOTAL,TOTUS,EMERGING,MEMER,HARTFORD & NEW HAVEN,DHAR01,867,SHA0867
TOTAL,TOTUS,EMERGING,MEMER,HARTFORD & NEW HAVEN,DHAR01,868,SHA0868
TOTAL,TOTUS,EMERGING,MEMER,HATTIESBURG-LAUREL,DHAT01,870,SHA0870
TOTAL,TOTUS,EMERGING,MEMER,HONOLULU,DHON01,754,SHO0754
TOTAL,TOTUS,EMERGING,MEMER,HONOLULU,DHON01,776,SHO0776
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,14,SHO0014
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,30,SHO0030
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,42,SHO0042
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,44,SHO0044
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,52,SHO0052
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,53,SHO0053
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,54,SHO0054
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,56,SHO0056
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,58,SHO0058
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,60,SHO0060
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,71,SHO0071
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,86,SHO0086
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,91,SHO0091
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,114,SHO0114
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,128,SHO0128
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,152,SHO0152
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,153,SHO0153
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,158,SHO0158
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,169,SHO0169
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,174,SHO0174
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,177,SHO0177
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,200,SHO0200
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,202,SHO0202
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,207,SHO0207
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,222,SHO0222
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,229,SHO0229
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,231,SHO0231
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,234,SHO0234
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,250,SHO0250
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,252,SHO0252
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,255,SHO0255
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,307,SHO0307
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,323,SHO0323
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,353,SHO0353
TOTAL,TOTUS,CORE,MCORE,HOUSTON,DHOU01,371,SHO0371
