WeekNo,WeekDate,WeekDay,Month,Year,Quarterly,QYear,Year_01
0,1/1/2017,1,1,2017,q1,q1 2017,2017 YTD
1,1/8/2017,1,1,2017,q1,q1 2017,2017 YTD
2,1/15/2017,1,1,2017,q1,q1 2017,2017 YTD
3,1/22/2017,1,1,2017,q1,q1 2017,2017 YTD
4,1/29/2017,1,1,2017,q1,q1 2017,2017 YTD
5,2/5/2017,1,2,2017,q1,q1 2017,2017 YTD
6,2/12/2017,1,2,2017,q1,q1 2017,2017 YTD
7,2/19/2017,1,2,2017,q1,q1 2017,2017 YTD
8,2/26/2017,1,2,2017,q1,q1 2017,2017 YTD
9,3/5/2017,1,3,2017,q1,q1 2017,2017 YTD
10,3/12/2017,1,3,2017,q1,q1 2017,2017 YTD
11,3/19/2017,1,3,2017,q1,q1 2017,2017 YTD
12,3/26/2017,1,3,2017,q1,q1 2017,2017 YTD
13,4/2/2017,1,4,2017,q2,q2 2017,2017 YTD
14,4/9/2017,1,4,2017,q2,q2 2017,2017 YTD
15,4/16/2017,1,4,2017,q2,q2 2017,2017 YTD
16,4/23/2017,1,4,2017,q2,q2 2017,2017 YTD
17,4/30/2017,1,4,2017,q2,q2 2017,2017 YTD
18,5/7/2017,1,5,2017,q2,q2 2017,2017 YTD
19,5/14/2017,1,5,2017,q2,q2 2017,2017 YTD
20,5/21/2017,1,5,2017,q2,q2 2017,2017 YTD
21,5/28/2017,1,5,2017,q2,q2 2017,
22,6/4/2017,1,6,2017,q2,q2 2017,
23,6/11/2017,1,6,2017,q2,q2 2017,
24,6/18/2017,1,6,2017,q2,q2 2017,
25,6/25/2017,1,6,2017,q2,q2 2017,
26,7/2/2017,1,7,2017,q3,q3 2017,
27,7/9/2017,1,7,2017,q3,q3 2017,
28,7/16/2017,1,7,2017,q3,q3 2017,
29,7/23/2017,1,7,2017,q3,q3 2017,
30,7/30/2017,1,7,2017,q3,q3 2017,
31,8/6/2017,1,8,2017,q3,q3 2017,
32,8/13/2017,1,8,2017,q3,q3 2017,
33,8/20/2017,1,8,2017,q3,q3 2017,
34,8/27/2017,1,8,2017,q3,q3 2017,
35,9/3/2017,1,9,2017,q3,q3 2017,
36,9/10/2017,1,9,2017,q3,q3 2017,
37,9/17/2017,1,9,2017,q3,q3 2017,
38,9/24/2017,1,9,2017,q3,q3 2017,
39,10/1/2017,1,10,2017,q4,q4 2017,
40,10/8/2017,1,10,2017,q4,q4 2017,
41,10/15/2017,1,10,2017,q4,q4 2017,
42,10/22/2017,1,10,2017,q4,q4 2017,
43,10/29/2017,1,10,2017,q4,q4 2017,
44,11/5/2017,1,11,2017,q4,q4 2017,
45,11/12/2017,1,11,2017,q4,q4 2017,
46,11/19/2017,1,11,2017,q4,q4 2017,
47,11/26/2017,1,11,2017,q4,q4 2017,
48,12/3/2017,1,12,2017,q4,q4 2017,
49,12/10/2017,1,12,2017,q4,q4 2017,
50,12/17/2017,1,12,2017,q4,q4 2017,
51,12/24/2017,1,12,2017,q4,q4 2017,
52,12/31/2017,1,12,2017,q4,q4 2017,
53,1/7/2018,1,1,2018,q1,q1 2018,2018 YTD
54,1/14/2018,1,1,2018,q1,q1 2018,2018 YTD
55,1/21/2018,1,1,2018,q1,q1 2018,2018 YTD
56,1/28/2018,1,1,2018,q1,q1 2018,2018 YTD
57,2/4/2018,1,2,2018,q1,q1 2018,2018 YTD
58,2/11/2018,1,2,2018,q1,q1 2018,2018 YTD
59,2/18/2018,1,2,2018,q1,q1 2018,2018 YTD
60,2/25/2018,1,2,2018,q1,q1 2018,2018 YTD
61,3/4/2018,1,3,2018,q1,q1 2018,2018 YTD
62,3/11/2018,1,3,2018,q1,q1 2018,2018 YTD
63,3/18/2018,1,3,2018,q1,q1 2018,2018 YTD
64,3/25/2018,1,3,2018,q1,q1 2018,2018 YTD
65,4/1/2018,1,4,2018,q2,q2 2018,2018 YTD
66,4/8/2018,1,4,2018,q2,q2 2018,2018 YTD
67,4/15/2018,1,4,2018,q2,q2 2018,2018 YTD
68,4/22/2018,1,4,2018,q2,q2 2018,2018 YTD
69,4/29/2018,1,4,2018,q2,q2 2018,2018 YTD
70,5/6/2018,1,5,2018,q2,q2 2018,2018 YTD
71,5/13/2018,1,5,2018,q2,q2 2018,2018 YTD
72,5/20/2018,1,5,2018,q2,q2 2018,2018 YTD
73,5/27/2018,1,5,2018,q2,q2 2018,2018 YTD
74,6/3/2018,1,6,2018,q2,q2 2018,
75,6/10/2018,1,6,2018,q2,q2 2018,
76,6/17/2018,1,6,2018,q2,q2 2018,
77,6/24/2018,1,6,2018,q2,q2 2018,
78,7/1/2018,1,7,2018,q2,q2 2018,
79,7/8/2018,1,7,2018,q3,q3 2018,
80,7/15/2018,1,7,2018,q3,q3 2018,
81,7/22/2018,1,7,2018,q3,q3 2018,
82,7/29/2018,1,7,2018,q3,q3 2018,
83,8/5/2018,1,8,2018,q3,q3 2018,
84,8/12/2018,1,8,2018,q3,q3 2018,
85,8/19/2018,1,8,2018,q3,q3 2018,
86,8/26/2018,1,8,2018,q3,q3 2018,
87,9/2/2018,1,9,2018,q3,q3 2018,
88,9/9/2018,1,9,2018,q3,q3 2018,
89,9/16/2018,1,9,2018,q3,q3 2018,
90,9/23/2018,1,9,2018,q3,q3 2018,
91,9/30/2018,1,9,2018,q3,q3 2018,
92,10/7/2018,1,10,2018,q4,q4 2018,
93,10/14/2018,1,10,2018,q4,q4 2018,
94,10/21/2018,1,10,2018,q4,q4 2018,
95,10/28/2018,1,10,2018,q4,q4 2018,
96,11/4/2018,1,11,2018,q4,q4 2018,
97,11/11/2018,1,11,2018,q4,q4 2018,
98,11/18/2018,1,11,2018,q4,q4 2018,
99,11/25/2018,1,11,2018,q4,q4 2018,
100,12/2/2018,1,12,2018,q4,q4 2018,
101,12/9/2018,1,12,2018,q4,q4 2018,
102,12/16/2018,1,12,2018,q4,q4 2018,
103,12/23/2018,1,12,2018,q4,q4 2018,
104,12/30/2018,1,12,2018,q4,q4 2018,
105,1/6/2019,1,1,2019,q1,q1 2019,2019 YTD
106,1/13/2019,1,1,2019,q1,q1 2019,2019 YTD
107,1/20/2019,1,1,2019,q1,q1 2019,2019 YTD
108,1/27/2019,1,1,2019,q1,q1 2019,2019 YTD
109,2/3/2019,1,2,2019,q1,q1 2019,2019 YTD
110,2/10/2019,1,2,2019,q1,q1 2019,2019 YTD
111,2/17/2019,1,2,2019,q1,q1 2019,2019 YTD
112,2/24/2019,1,2,2019,q1,q1 2019,2019 YTD
113,3/3/2019,1,3,2019,q1,q1 2019,2019 YTD
114,3/10/2019,1,3,2019,q1,q1 2019,2019 YTD
115,3/17/2019,1,3,2019,q1,q1 2019,2019 YTD
116,3/24/2019,1,3,2019,q1,q1 2019,2019 YTD
117,3/31/2019,1,3,2019,q1,q1 2019,2019 YTD
118,4/7/2019,1,4,2019,q2,q2 2019,2019 YTD
119,4/14/2019,1,4,2019,q2,q2 2019,2019 YTD
120,4/21/2019,1,4,2019,q2,q2 2019,2019 YTD
121,4/28/2019,1,4,2019,q2,q2 2019,2019 YTD
122,5/5/2019,1,5,2019,q2,q2 2019,2019 YTD
123,5/12/2019,1,5,2019,q2,q2 2019,2019 YTD
124,5/19/2019,1,5,2019,q2,q2 2019,2019 YTD
125,5/26/2019,1,5,2019,q2,q2 2019,2019 YTD
,,,,,,,
,,,,,,,
